PSSTotalMean,PSSTotalSD,PSS1Mean,PSS1SD,PSS2Mean,PSS2SD,PSS3Mean,PSS3SD,PSS4Mean,PSS4SD,PSS5Mean,PSS5SD,O,O_SD,C,C_SD,E,E_SD,A,A_SD,N,N_SD,AttConsMean,AttConsSD,IdentityMean,IdentitySD,DPMean,DPSD,AuthMean,AuthSD,LifeSatMean,LifeSatSD,FlexMean,FlexSD,RigidityMean,RigiditySD,EmotIntMean,EmotIntSD,MILMean,MILSD,PresenceMean,PresenceSD,SearchingMean,SearchingSD,id,PSS1_1,PSS1_2,PSS1_3,PSS1_4,PSS1_5,PSS1_6,PSS2_1,PSS2_2,PSS2_3,PSS2_4,PSS2_5,PSS2_6,PSS3_1,PSS3_2,PSS3_3,PSS3_4,PSS3_5,PSS3_6,PSS3_7,PSS4_1,PSS4_2,PSS4_3,PSS4_4,PSS4_5,PSS4_6,PSS4_7,PSS4_8,PSS4_9,PSS4_10,PSS5_1,PSS5_2,PSS5_3,PSS5_4,PSS5_5,PSS5_6,PSS5_7,PSS5_8,PSS5_9,PSS5_10,PSS5_11,PSS5_12,PSS5_13,PSS5_14,PSS5_15,E1,A1,C1,N1,O1,E2,A2,C2,N2,O2,E3,A3,C3,N3,O3,E4,A4,C4,N4,O4,AttCons1,AttCons2,AttCons3,AttCons4,AttCons5,AttCons6,AttCons7,AttCons8,Identity1,Identity2,Identity3,Identity4,Identity5,DP1,DP2,DP3,DP4,DP5,Auth1,Auth2,Auth3,Auth4,Auth5,Auth6,Auth7,Auth8,Auth9,Auth10,Auth11,Auth12,LifeSat1,LifeSat2,LifeSat3,LifeSat4,LifeSat5,Flex1,Flex2,Flex3,Flex4,Flex5,Flex6,Flex7,Flex8,Flex9,Flex10,Rigid1,Rigid2,Rigid3,Rigid4,Rigid5,Rigid6,Rigid7,Rigid8,Rigid9,Rigid10,EmoInt1,EmoInt2,EmoInt3,EmoInt4,EmoInt5,EmoInt6,EmoInt7,MIL1,MIL2,MIL3,MIL4,MIL5,MIL6,MIL7,MIL8,MIL9,MIL10,Gender,GenderO,Class,Pol,PolO,Age,PSS1_2R,PSS2_1R,PSS2_3R,PSS2_5R,PSS3_1R,PSS3_2R,PSS3_3R,PSS3_4R,PSS3_5R,PSS3_7R,PSS5_8R,PSS5_12R,AttCons1R,AttCons2R,AttCons3R,AttCons6R,AttCons7R,Identity3R,Auth2R,Auth3R,Auth4R,Auth5R,Auth6R,Auth7R,Auth10R,Auth12R,E2R,E4R,C2R,C4R,N2R,N4R,A2R,A4R,O2R,O3R,O4R,Flex3R,Flex4R,Flex5R,Flex6R,Flex7R,Flex8R,Flex9R,Flex10R,EmoInt7R,MIL9R
2.93181818182,1.75734640432,2.66666666667,1.36626010213,1.83333333333,0.752772652709,2.42857142857,1.39727626201,2.9,1.85292561463,3.73333333333,2.05171240907,3.25,0.5,5.0,1.41421356237,1.5,0.57735026919,2.0,0.0,6.5,0.57735026919,4.25,1.98206241793,4.66666666667,2.30940107676,5.2,1.788854382,4.16666666667,1.26730446463,4.2,2.683281573,1.7,1.33749350985,4.6,1.95505043982,4.85714285714,1.6761634197,4.0,2.10818510678,6.0,0.0,2.0,0.0,63116,3,5,2,2,5,1,5,2,6,1,7,2,6,7,6,3,7,3,5,2,1,3,2,3,5,1,1,5,6,5,6,2,5,3,6,7,3,6,1,1,6,2,2,3,1,2,3,6,3,6,6,3,2,4,1,2,6,7,5,6,6,2,1,5,1,6,2,2,5,3,6,5,6,2,2,7,3,6,2,6,6,6,5,2,5,3,5,5,3,5,3,3,2,3,3,7,3,7,1,5,1,7,7,7,6,7,7,5,7,5,3,2,5,1,6,6,5,6,7,5,6,6,6,2,6,5,6,2,2,6,6,6,2,2.0,2,2,2,,1,2,,18,3,3,2,1,2,1,2,5,1,3,5,2,7,2,6,5,2,6,6,3,5,3,3,5,5,5,2,2,5,6,6,7,2,2,4,3,3,1,1,1,2,1,1,3,1,3,6
4.5,1.13095966658,4.16666666667,1.32916013583,4.66666666667,0.816496580928,4.14285714286,1.06904496765,4.8,1.39841179756,4.53333333333,1.06009882738,3.25,0.5,5.75,0.5,4.0,1.15470053838,5.5,0.57735026919,4.25,0.5,4.875,1.35620268186,6.0,0.0,3.4,0.547722557505,5.0,1.34839972493,5.2,1.48323969742,3.2,1.22927259431,4.5,0.971825315808,4.85714285714,1.21498579259,4.4,0.69920589878,4.6,0.547722557505,4.2,0.836660026534,62770,3,3,6,3,5,3,3,5,3,3,3,5,3,3,5,3,5,3,3,3,3,6,6,6,6,4,3,6,5,5,5,5,6,6,6,5,4,5,3,3,5,4,4,4,3,6,6,5,3,3,2,2,4,5,3,5,5,4,4,3,3,2,4,5,5,5,3,6,6,2,4,6,6,6,2,2,3,3,4,3,3,4,5,2,5,4,5,5,2,6,6,2,6,2,5,6,7,5,3,5,3,6,6,6,3,6,5,4,4,3,5,3,5,5,5,4,6,4,5,3,4,4,6,6,6,3,4,5,3,4,5,5,5,4.0,3,4,2,,2,3,,20,5,5,5,5,5,5,3,5,3,5,4,3,3,3,5,6,4,6,6,3,4,3,3,6,6,6,5,5,6,6,4,4,6,5,3,4,3,2,2,2,5,2,3,4,4,5,5
3.90909090909,2.02103107255,5.33333333333,1.63299316186,2.66666666667,1.63299316186,2.57142857143,1.51185789204,5.2,1.68654808542,3.6,2.02837021135,6.0,0.0,3.0,2.0,2.0,0.0,3.5,1.91485421551,5.0,2.0,2.5,1.06904496765,4.66666666667,2.30940107676,6.0,0.0,2.91666666667,0.996204919896,4.8,1.64316767252,4.8,1.93218356616,2.2,0.421637021356,3.14285714286,1.9518001459,4.2,1.03279555899,3.4,0.894427191,5.0,0.0,64038,6,2,6,6,6,2,2,2,6,2,6,2,6,6,6,2,6,2,6,6,6,6,6,6,6,2,6,6,2,6,2,6,6,6,2,2,6,6,2,2,6,6,2,2,2,6,2,2,6,6,6,6,2,2,2,4,6,6,2,6,6,6,2,2,6,6,6,2,2,6,5,5,2,6,2,2,2,6,6,6,6,6,1,4,5,5,5,5,5,2,2,5,5,5,3,3,6,6,6,6,6,2,6,6,6,2,2,2,2,2,2,2,2,2,2,2,3,3,2,6,2,2,2,6,2,6,3,5,5,3,3,3,5,5.0,3,5,1,,1,2,,19,6,6,2,2,2,2,2,6,2,2,2,2,2,2,2,2,3,6,4,3,3,3,3,3,3,3,2,2,2,2,6,6,2,2,6,6,6,6,2,2,2,6,6,6,6,2,5
4.31818181818,1.76230197334,2.0,0.894427191,5.33333333333,1.50554530542,5.0,1.82574185835,4.6,1.6465452047,4.33333333333,1.49602648309,5.75,0.5,4.25,1.5,5.0,1.41421356237,6.5,0.57735026919,4.0,1.15470053838,5.375,1.06066017178,5.0,2.0,4.6,0.894427191,5.33333333333,1.43548112513,5.8,0.4472135955,3.4,1.6465452047,4.2,1.22927259431,5.57142857143,0.534522483825,4.4,1.34989711542,4.0,1.58113883008,4.8,1.09544511501,65453,2,6,3,1,1,3,4,3,1,6,2,6,2,2,2,6,5,5,1,3,5,3,6,6,6,2,6,6,3,6,6,6,5,5,3,2,3,2,5,3,5,6,5,3,3,7,3,5,6,2,2,5,3,3,6,7,5,3,2,3,2,2,5,2,2,5,2,5,6,2,3,6,5,7,5,2,5,5,5,3,5,5,7,3,2,2,4,4,6,5,6,2,6,1,6,6,6,6,5,5,5,5,6,6,6,6,6,2,3,2,5,5,5,3,4,5,6,4,3,5,6,5,6,6,6,3,4,5,5,3,6,5,3,5.0,6,6,2,,3,3,,21,2,4,7,6,6,6,6,2,3,7,5,3,6,3,6,6,5,3,5,6,6,4,4,2,6,7,6,5,3,6,5,3,6,6,5,6,6,3,2,2,2,2,2,6,5,5,2
4.81818181818,1.71549338313,4.0,1.54919333848,3.33333333333,1.75119007154,5.71428571429,0.755928946018,5.0,1.41421356237,5.2,1.93464651625,6.0,0.0,6.5,0.57735026919,5.75,0.5,6.25,0.5,1.75,0.957427107756,6.0,0.925820099773,7.0,0.0,3.8,1.788854382,5.66666666667,1.7752507292,6.8,0.4472135955,5.5,1.26929551764,3.3,0.948683298051,5.85714285714,2.19306265518,6.3,1.88856206323,7.0,0.0,5.6,2.60768096208,64401,3,5,6,6,3,3,6,3,6,6,6,5,3,2,2,3,2,5,1,3,3,3,5,6,6,6,6,6,6,6,6,6,7,7,7,2,6,1,6,5,3,6,6,6,5,7,7,1,6,2,2,1,5,2,6,6,6,1,2,2,2,2,6,2,1,2,3,5,7,2,3,7,7,7,1,2,6,5,5,5,3,1,6,3,2,4,6,5,1,7,7,1,7,1,6,7,7,7,7,5,6,2,6,2,2,2,2,2,2,5,5,3,3,2,3,3,3,3,3,6,7,6,7,7,7,7,7,7,7,7,7,7,6,7.0,1,1,1,,1,3,,19,3,2,2,2,5,6,6,5,6,7,2,5,7,6,5,6,5,7,5,6,4,2,3,7,7,7,6,6,7,6,3,2,6,6,6,6,6,6,2,6,6,6,6,6,6,1,7
3.93181818182,1.50035231944,2.33333333333,1.03279555899,3.33333333333,1.36626010213,3.0,1.52752523165,4.4,0.966091783079,4.93333333333,1.16291915127,5.75,0.5,5.0,0.816496580928,4.0,0.816496580928,5.5,0.57735026919,4.75,0.5,4.0,1.06904496765,5.66666666667,0.57735026919,4.8,1.09544511501,5.83333333333,1.02985730109,5.6,0.547722557505,4.3,1.33749350985,2.9,0.875595035771,5.0,1.15470053838,5.1,1.59513148187,5.8,1.09544511501,4.4,1.81659021246,65448,2,6,3,1,2,4,5,2,2,3,5,3,5,5,6,5,7,3,2,5,5,3,3,5,5,5,3,5,5,6,6,5,6,6,6,6,5,5,3,4,5,5,5,5,4,5,5,5,5,5,2,4,3,2,5,5,6,4,2,4,2,3,3,2,3,5,5,3,5,3,5,5,6,5,2,3,4,6,5,3,5,5,7,2,4,2,3,4,2,7,6,2,7,2,5,5,6,6,6,5,5,5,5,6,4,3,4,2,2,2,2,2,3,2,4,4,3,4,3,3,4,5,5,6,6,2,7,6,6,5,5,5,3,5.0,1,2,2,,1,2,,19,2,3,6,3,3,3,2,3,1,6,3,3,5,3,3,5,3,6,6,4,6,5,4,6,6,6,3,4,4,5,5,5,6,6,6,6,6,3,3,2,4,5,4,6,6,6,7
4.34090909091,1.64165517466,5.16666666667,1.60208197876,4.16666666667,0.98319208025,3.71428571429,1.60356745147,3.8,1.75119007154,4.73333333333,1.75119007154,5.5,1.0,5.0,2.0,3.5,1.91485421551,5.75,0.5,3.0,2.16024689947,4.0,1.30930734142,4.0,1.73205080757,3.2,0.4472135955,4.91666666667,1.78164037455,3.2,1.64316767252,4.0,1.56347191994,4.2,1.68654808542,5.0,0.57735026919,3.6,2.06559111798,2.0,0.0,5.2,1.788854382,63590,6,2,6,6,5,2,4,5,3,3,5,5,5,3,5,3,6,2,2,2,2,2,6,6,6,2,4,4,4,7,6,5,6,6,6,2,5,2,4,2,3,7,5,5,1,6,2,2,5,3,2,2,5,3,3,5,6,1,3,3,2,2,2,1,4,3,5,5,3,2,4,2,3,3,2,5,6,4,3,3,3,3,7,5,4,2,2,5,6,7,6,4,7,4,2,2,2,5,5,5,6,3,4,7,4,5,3,6,3,3,3,2,5,2,6,7,5,4,5,5,5,4,5,5,5,2,2,6,6,2,2,2,6,2.0,6,6,1,,2,1,,21,6,4,5,3,3,5,3,5,2,6,3,5,4,5,3,6,4,6,3,4,6,6,3,2,4,4,5,5,6,6,3,6,6,6,5,5,7,5,4,1,4,3,5,2,5,6,2
3.63636363636,1.65783424272,2.5,1.37840487521,5.5,0.836660026534,4.14285714286,1.34518541827,3.0,1.82574185835,3.53333333333,1.45732958654,4.25,0.5,4.0,2.44948974278,4.0,1.63299316186,5.25,0.5,4.0,0.816496580928,3.125,1.6420805618,3.0,1.0,4.8,1.64316767252,4.66666666667,1.30267789456,4.8,1.09544511501,4.9,1.91195071996,2.6,1.77638834593,4.57142857143,1.90237946242,3.9,2.18326971917,4.2,0.836660026534,3.6,3.1304951685,62464,2,6,3,2,5,1,4,6,2,5,2,6,3,3,5,4,6,4,2,1,1,2,5,4,5,2,2,6,2,5,5,3,2,2,6,5,3,2,4,2,6,4,4,2,4,5,2,5,4,4,3,6,4,3,6,5,7,3,4,6,2,3,4,4,3,6,6,2,6,6,6,4,3,2,4,6,3,6,5,6,2,5,5,3,4,5,5,5,3,4,6,2,5,1,3,6,5,5,5,5,7,6,5,2,2,6,3,2,1,5,2,1,4,1,2,2,6,2,1,5,6,6,3,7,2,5,4,2,7,4,5,3,1,1.0,3,7,2,,1,6,None,18,2,4,6,6,5,5,3,4,2,6,5,2,5,2,2,2,2,4,5,4,3,3,3,5,6,7,4,2,2,5,4,4,5,6,5,4,4,2,3,6,6,2,5,6,7,3,5
3.72727272727,1.35309526923,2.66666666667,1.03279555899,3.5,0.547722557505,2.71428571429,1.49602648309,3.8,1.39841179756,4.66666666667,0.975900072949,3.0,2.0,4.0,2.30940107676,4.0,2.30940107676,4.0,2.30940107676,4.0,2.30940107676,4.0,0.0,4.66666666667,2.30940107676,5.2,0.836660026534,3.91666666667,1.44337567297,4.0,0.0,5.1,1.10050493461,2.6,0.69920589878,4.71428571429,0.487950036474,4.4,2.716206505,5.0,2.82842712475,3.8,2.7748873851,62514,4,5,2,3,3,1,5,3,4,3,4,4,6,5,6,6,6,6,6,3,3,2,2,6,5,5,5,4,3,5,5,5,5,5,5,6,5,5,5,5,5,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,6,6,6,6,6,6,5,4,5,6,5,4,3,4,5,6,7,6,5,4,3,3,4,4,4,4,4,6,5,2,4,4,3,5,2,2,2,3,3,2,3,2,3,3,3,3,1,5,5,5,5,4,5,4,1,1,1,7,7,7,7,6.0,5,4,2,,3,3,,21,3,3,4,4,2,3,2,2,2,2,3,3,4,4,4,4,4,2,4,5,4,3,2,1,4,5,2,2,2,2,2,2,2,2,2,2,2,6,4,4,5,3,6,6,6,4,3
4.61363636364,1.27982391759,4.16666666667,1.32916013583,4.33333333333,0.816496580928,3.42857142857,0.975900072949,5.0,1.63299316186,5.2,0.861891607371,4.5,1.29099444874,4.25,0.957427107756,3.5,1.0,5.0,0.0,4.5,1.29099444874,3.75,0.462910049886,6.0,0.0,4.8,0.836660026534,4.41666666667,1.16450015288,4.4,1.3416407865,3.6,1.57762127549,4.0,0.942809041582,4.28571428571,0.487950036474,4.0,0.471404520791,4.0,0.0,4.0,0.707106781187,62554,3,3,5,5,5,2,5,5,3,5,4,4,5,5,6,3,4,3,4,2,2,6,6,6,6,6,5,6,5,6,6,6,6,6,6,4,5,5,5,5,3,5,5,5,3,5,4,4,5,3,3,3,5,5,3,5,5,5,4,5,3,5,2,2,4,4,4,3,3,4,4,4,6,6,2,3,6,6,5,5,4,4,6,2,4,3,3,5,5,5,5,5,5,5,5,5,5,5,2,5,7,6,5,5,5,6,5,5,3,2,3,4,5,4,4,5,4,5,4,4,4,4,5,4,5,4,4,4,3,4,4,4,5,4.0,4,4,1,,1,1,,18,5,3,5,4,3,3,2,5,4,4,3,5,4,4,4,4,4,6,6,4,5,5,3,3,3,3,5,3,5,3,3,6,5,5,3,4,6,2,3,3,3,2,3,3,5,4,4
